"INV_CODE","Invoice_Date","Billed_Month","Service_Month","Payee","Firm_Code","BillingCode","Attributable","Description","Rate","Commission","Percentage","Status"
"DINO:42824","2017-04-01","2017-02-28","2017-04-30","Quincy","DINO","DINO","DINO","Base OMS/EMS Fee","2500","625.00","25.00","Unpaid"
"DINO:42824","2017-04-01","2017-02-28","2017-04-30","Quincy","DINO","DINO","DINO","Clearing firm integration Wedbush","500","125.00","25.00","Unpaid"
"DINO:42824","2017-04-01","2017-02-28","2017-04-30","Quincy","DINO","DINO","DINO","MRC User: Ed Coyle","200","50.00","25.00","Unpaid"
"DINO:42824","2017-04-01","2017-02-28","2017-04-30","Quincy","DINO","DINO","DINO","MRC User: John Kerrigan","200","50.00","25.00","Unpaid"
"DINO:42824","2017-04-01","2017-02-28","2017-04-30","Quincy","DINO","DINO","DINO","OATS Reporting (MPID APBI)","200","50.00","25.00","Unpaid"
"BOOK:42823","2017-03-31","2017-03-31","2017-03-31","Quincy","BOOK","BOOK","CONVENTUS","MRC risk platform & non-US FIX Equities drop copy fee [client CONVENTUS]","500","125.00","25.00","Unpaid"
"BOOK:42823","2017-03-31","2017-03-31","2017-03-31","Quincy","BOOK","BOOK","CONVENTUS","MRC risk platform & US FIX Equities drop copy fee [client CONVENTUS]","500","125.00","25.00","Unpaid"
"BCMS:42915","2017-07-01","2017-06-30","2017-07-31","Quincy","BCMS","BCMS","CONVENTUS","Portfolio Management Base Fee Client [Conventus Capital LLC] ","2000","500.00","25.00","Unpaid"
"BOOK:42914","2017-06-30","2017-06-30","2017-06-30","Quincy","BOOK","BOOK","CONVENTUS","MRC risk platform & non-US FIX Equities drop copy fee [client CONVENTUS]","500","125.00","25.00","Unpaid"
"BOOK:42914","2017-06-30","2017-06-30","2017-06-30","Quincy","BOOK","BOOK","CONVENTUS","MRC risk platform & US FIX Equities drop copy fee [client CONVENTUS]","500","125.00","25.00","Unpaid"
"DINO:42946","2017-08-01","2017-06-30","2017-08-31","Quincy","DINO","DINO","DINO","Base OMS/EMS Fee","2500","625.00","25.00","Unpaid"
"DINO:42946","2017-08-01","2017-06-30","2017-08-31","Quincy","DINO","DINO","DINO","Clearing firm integration Wedbush","500","125.00","25.00","Unpaid"
"DINO:42946","2017-08-01","2017-06-30","2017-08-31","Quincy","DINO","DINO","DINO","MRC User: Ed Coyle","200","50.00","25.00","Unpaid"
"DINO:42946","2017-08-01","2017-06-30","2017-08-31","Quincy","DINO","DINO","DINO","MRC User: John Kerrigan","200","50.00","25.00","Unpaid"
"DINO:42946","2017-08-01","2017-06-30","2017-08-31","Quincy","DINO","DINO","DINO","OATS Reporting (MPID APBI)","200","50.00","25.00","Unpaid"
"RILY:42914","2017-06-30","2017-06-30","2017-06-30","Quincy","RILY","RILY","POTOMAC","MRC OMS & FIX Equitiies order routing fee [client POTOMAC]","250","62.50","25.00","Unpaid"
"RILY:42914","2017-06-30","2017-06-30","2017-06-30","Quincy","RILY","RILY","RILY","MRC FIX Dialectic Order Routing","150","37.50","25.00","Unpaid"
"RILY:42914","2017-06-30","2017-06-30","2017-06-30","Quincy","RILY","RILY","RILY","MRC FIX Doheny Order Routing","150","37.50","25.00","Unpaid"
"RILY:42914","2017-06-30","2017-06-30","2017-06-30","Quincy","RILY","RILY","RILY","MRC FIX Granite Capital Order Routing","150","37.50","25.00","Unpaid"
"RILY:42914","2017-06-30","2017-06-30","2017-06-30","Quincy","RILY","RILY","RILY","MRC FIX Manatuck Order Routing","150","37.50","25.00","Unpaid"
